iter,total,root_orient_gvhmr_weight,root_orient_gvhmr_raw,root_orient_gvhmr_scaled,pose_gvhmr_weight,pose_gvhmr_raw,pose_gvhmr_scaled,height_prior_weight,height_prior_raw,height_prior_scaled,scene_intersect_weight,scene_intersect_raw,scene_intersect_scaled,nocontact_weight,nocontact_raw,nocontact_scaled,self_intersect_weight,self_intersect_raw,self_intersect_scaled,scene_intersect_num_scene_collision_points,scene_intersect_num_sdf_query_points,scene_intersect_num_inside_or_margin_points
1717,0.663050651550293,0.0,0.025129228830337524,0.0,10.0,0.009370488114655018,0.09370488114655018,1.0,0.00011012765753548592,0.00011012765753548592,8.584292146073036,0.012307893484830856,0.10565455337653701,500.0,0.0008302720380015671,0.41513601900078356,0.0008584292146073037,56.434608459472656,0.04844511661653581,700000,700000,3020
1718,0.662647008895874,0.0,0.025123964995145798,0.0,10.0,0.009374150075018406,0.09374150075018406,1.0,0.00010953741002595052,0.00010953741002595052,8.589294647323662,0.012226144783198833,0.10501395994373386,500.0,0.0008306837407872081,0.41534187039360404,0.0008589294647323662,56.39588165283203,0.04844008444117689,700000,700000,3013
1719,0.6634737253189087,0.0,0.02510131150484085,0.0,10.0,0.009379375725984573,0.09379375725984573,1.0,0.00010845944052562118,0.00010845944052562118,8.594297148574286,0.012249474413692951,0.105275623025135,500.0,0.0008315928862430155,0.41579644312150776,0.0008594297148574287,56.43211364746094,0.048499435340839364,700000,700000,2988
1720,0.6631419062614441,0.0,0.02509421668946743,0.0,10.0,0.009385212324559689,0.09385212324559689,1.0,0.00010714376549003646,0.00010714376549003646,8.599299649824912,0.012206584215164185,0.10496807536701967,500.0,0.0008320859633386135,0.41604298166930676,0.0008599299649824913,56.01801300048828,0.048171567957898634,700000,700000,3025
1721,0.6635700464248657,0.0,0.025116201490163803,0.0,10.0,0.009388161823153496,0.09388161823153496,1.0,0.00010593270417302847,0.00010593270417302847,8.604302151075538,0.012230738066136837,0.10523696585170265,500.0,0.0008323651854880154,0.4161825927440077,0.0008604302151075538,55.97537612915039,0.0481629049235311,700000,700000,3001
1722,0.6637789011001587,0.0,0.025124341249465942,0.0,10.0,0.009392596781253815,0.09392596781253815,1.0,0.00010458449105499312,0.00010458449105499312,8.609304652326163,0.01225199829787016,0.10548118594614579,500.0,0.0008322399808093905,0.4161199904046953,0.0008609304652326163,55.92464065551758,0.048147226897521635,700000,700000,2997
1723,0.6645746231079102,0.0,0.02510400116443634,0.0,10.0,0.00939945224672556,0.09399452246725559,1.0,0.00010343573376303539,0.00010343573376303539,8.614307153576789,0.012337789870798588,0.10628151154334751,500.0,0.0008321805507875979,0.41609027539379895,0.0008614307153576789,55.84297180175781,0.04810485114688692,700000,700000,2981
1724,0.6635982990264893,0.0,0.02508525922894478,0.0,10.0,0.009403915144503117,0.09403915144503117,1.0,0.00010300659050699323,0.00010300659050699323,8.619309654827413,0.012229152955114841,0.10540685613638254,500.0,0.0008318370673805475,0.41591853369027376,0.0008619309654827414,55.84058380126953,0.04813072830894818,700000,700000,3007
1725,0.6646127700805664,0.0,0.025091810151934624,0.0,10.0,0.009405259974300861,0.09405259974300861,1.0,0.00010310186917195097,0.00010310186917195097,8.62431215607804,0.012405014596879482,0.10698471818419324,500.0,0.0008314011502079666,0.4157005751039833,0.0008624312156078038,55.391971588134766,0.047771765391668,700000,700000,2999
1726,0.6634802222251892,0.0,0.025113843381404877,0.0,10.0,0.009406710974872112,0.09406710974872112,1.0,0.00010362675675423816,0.00010362675675423816,8.629314657328665,0.012280774302780628,0.10597466569433009,500.0,0.0008316180319525301,0.4158090159762651,0.0008629314657328665,55.07488250732422,0.047525849087110696,700000,700000,2996
1727,0.6638903021812439,0.0,0.025111360475420952,0.0,10.0,0.00941452942788601,0.09414529427886009,1.0,0.00010415294673293829,0.00010415294673293829,8.63431715857929,0.012258630245923996,0.10584490147306061,500.0,0.0008324513328261673,0.4162256664130837,0.0008634317158579289,55.09443664550781,0.047570283967056766,700000,700000,2990
1728,0.6640869975090027,0.0,0.02509806863963604,0.0,10.0,0.009424564428627491,0.09424564428627491,1.0,0.00010458449105499312,0.00010458449105499312,8.639319659829916,0.012187129817903042,0.10528851023270913,500.0,0.000833329395391047,0.4166646976955235,0.0008639319659829916,55.30939483642578,0.04778355421836285,700000,700000,3022
1729,0.664991557598114,0.0,0.02511368691921234,0.0,10.0,0.00943088997155428,0.0943088997155428,1.0,0.00010458449105499312,0.00010458449105499312,8.64432216108054,0.012300410307943821,0.10632870941534228,500.0,0.0008329389384016395,0.41646946920081973,0.000864432216108054,55.27321243286133,0.04777994551474956,700000,700000,2990
